"Code","Name","Area","TAC","Catch","ratio","w"
"COD","Cod","GOA",55273.4,60990.1343039982,1.10342649998007,18
"SBF","Sablefish","GOA",11046.1,11058.2988539218,1.00110435845428,17
"POP","Pacific_ocean_perch","GOA",21437.8,19148.3563027305,0.893205287050467,16
"POL","Pollock","GOA",156649.9,128311.463095338,0.819096999712976,15
"SKO","Skate_other","GOA",1907.6,1461.38625138611,0.766086313370785,14
"RFP","Rockfish_pelagic_shelf","GOA",4684.7,3003.40295170155,0.641108918757135,13
"RFS","Rockfish_slope","GOA",7080.5,4309.03675640714,0.608578032117384,12
"DFS","Shallow_demersal","GOA",2300,1361.65900524571,0.592025654454656,11
"SKB","Skate_big","GOA",3453.1,1899.93409643948,0.550211142578981,10
"RFD","Rockfish_demersal_shelf","GOA",2068.4,1034.82643498249,0.500302859689852,9
"THO","Thornyhead","GOA",1852.8,923.26491992142,0.498307923100939,8
"SKL","Skate_longnose","GOA",3060.4,1264.58407671403,0.413208755951519,7
"ATF","Arrowtooth_flounder","GOA",88139.5,24544.7697460698,0.278476389655827,6
"REX","Rex_sole","GOA",10282.6,2481.92730579382,0.241371570010875,5
"SCU","Sculpins","GOA",5559.22222222222,1084.50228342662,0.195081657123091,4
"FFS","Flatfish_shallow","GOA",34284.5,4578.60823554122,0.133547470009515,3
"FHS","Flathead_sole","GOA",24591,2552.12129854832,0.103782737527889,2
"FFD","Flatfish_deep","GOA",8695.6,292.99410859066,0.0336945246550738,1
