"","Code","b0","fmsy_realized","fmsy_input","run","fref","fref_mfc_for_check"
"1","POL",1932779.902535,0.27740921556516,0.254811580671346,4,0.224937479036264,0.000697870294821046
"2","COD",164904.32501,0.296192600357685,0.278666438890308,21,0.243207702403175,0.000763178326756986
"3","HAL",141654.72857129,0.154692797829435,0.149742002526479,37,0.139069934443599,0.000410167919846161
"4","SBF",773080.910419786,0.0998898691768054,0.101660300042291,46,0.096663637121684,0.000278482586502871
"5","POP",640481.865129022,0.0989555220220582,0.0979061856304054,61,0.0932660355608349,0.000268200152921838
"6","ATF",1494137.14333054,NA,NA,NA,NA,NA
"7","FHS",74434.469972489,NA,NA,NA,NA,NA
"8","REX",263577.506329257,NA,NA,NA,NA,NA
"9","FFS",339268.666384958,NA,NA,NA,NA,NA
"10","FFD",240140.700415387,NA,NA,NA,NA,NA
"11","SKL",49438.9429,NA,NA,NA,NA,NA
"12","SKB",67074.83649,NA,NA,NA,NA,NA
"13","SKO",38165.29795,NA,NA,NA,NA,NA
"14","RFS",520886.227830156,NA,NA,NA,NA,NA
"15","RFP",127373.449235729,NA,NA,NA,NA,NA
"16","RFD",84034.1414,NA,NA,NA,NA,NA
"17","THO",264103.6697,NA,NA,NA,NA,NA
"18","DFS",819758.378,NA,NA,NA,NA,NA
"19","DFD",297866.4642,NA,NA,NA,NA,NA
"20","SCU",31164.4916,NA,NA,NA,NA,NA
